Name,Lat,Long
Siamisang Primary School,-25.493340°,28.070180°
Siphamandla Primary School,-25.513753°,28.116244°
SOSHANGUVE TECHNICAL SECONDARY SCHOOL,-25.539040°,28.107030°
Thaba Primary School,-25.404980°,28.016100°
Thulasizwe Primary School,-25.522733°,28.107475°
THULGANYO JR. SECONDARY,-25.450390°,28.055040°
Thutong Junior Secondary School,-25.530720°,28.099800°
THUTONG JUNIOR SECONDARY SCHOOL,-25.531630°,28.099290°
TSHWANE CHRISTIAN SCHOOL,-25.538470°,28.139590°
TSWAING HIGH SCHOOL,-25.448842°,28.053620°
UBUHLE-BEZWE JUNIOR SECONDARY,-25.507200°,28.113510°
WALLMANSTHAL PRIMARY SCHOOL,-25.531130°,28.102230°
Laerskool Akasia,-25.649266°,28.125176°
Laerskool Voortrekker-Eeufees,-25.665275°,28.171017°
Hoërskool Akasia,-25.670343°,28.129420°
Metro Police Winternest,-25.648170°,28.128900°
Amandasig Secondary School,-25.672490°,28.097570°
Capital Park Primary School,-25.728550°,28.188117°
Iona Convert school,-25.727860°,28.203980°
Laerskool Tuinrand,-25.720267°,28.136883°
Hoër Tegniese Skool Pretoria-Tuine,-25.718650°,28.132067°
Hoërskool Gerrit Maritz,-25.665710°,28.154860°
Onderstepoort Primary School,-25.638800°,28.177767°
Gontse Primary School,-25.570467°,28.070100°
Lesedi Primary School,-25.589170°,28.105700°
soshanguve secondary school,-25.588040°,28.099040°
VUKANI PRIMARY,-25.485300°,28.112467°
AMOGELANG SECONDARY SCHOOL,-25.482661°,28.123335°
BABINAPHUTI SECONDARY SCHOOL,-25.488417°,28.103889°
BOTSE-BOTSE SECONDARY,-25.466780°,28.091720°
-25.467200°,28.091110°,10.254.73.194
Dilopye School,-25.383420°,28.193490°
DIMAKATSO PRIMARY,-25.450230°,28.120840°
ECHIBINE SECONDARY SCHOOL,-25.462950°,28.096923°
ELIZABETH MATSEMELA SECONDARY,-25.493710°,28.104920°
FUNEKILE SECONDARY,-25.441383°,28.121117°
I. R. LESOLANG SECONDARY SCHOOL,-25.492767°,28.072339°
KGADIME MATSEPE SECONDARY,-25.455670°,28.123460°
KGOMOTSO SECONDARY,-25.487733°,28.111650°
KGOTLELELANG PRIMARY,-25.439818°,28.109663°
KONDELELANI PRIMARY,-25.459420°,28.119221°
LESEDI POTLANA PRIMARY,-25.455680°,28.127090°
LINDELANI PRIMARY SCHOOL,-25.464883°,28.091367°
LUCAS MOTSHABANOSI SECONDARY SCHOOL,-25.485240°,28.075530°
M. H. Baloyi Secondary School,-25.493760°,28.071160°
M.J. MGIDI SECONDARY SCHOOL,-25.470983°,28.133317°
Manamelong Primary School,-25.490910°,28.072390°
MMABANA PRIMARY SCHOOL,-25.461130°,28.132340°
Mmatso Primary School,-25.408700°,28.131650°
MZIMUHLE PRIMARY SCHOOL,-25.460210°,28.099990°
NCHUNCHEKO PRIMARY,-25.465920°,28.125920°
NTSAKO SECONDARY SCHOOL,-25.477360°,28.096520°
PADISAGO PRIMARY SCHOOL,-25.488942°,28.097994°
PHAKAMONOLA PRIMARY SCHOOL,-25.464880°,28.084800°
PULAMADIBOGO PRIMARY SCHOOL,-25.486930°,28.135320°
RAIKANA PRIMARY SCHOOL,-25.480460°,28.128370°
Rapelego Primary School,-25.410980°,28.118880°
REFALOTSE PRIMARY SCHOOL,-25.486060°,28.073970°
RIVONINGO PRIMARY SCHOOL,-25.456140°,28.083010°
SEDIBA SA TSEBO PRIMARY SCHOOL,-25.492680°,28.111030°
SENTHIBELE SENIOR SECONDARY,-25.475157°,28.126331°
SIYOKHELA PRIMARY SCHOOL,-25.497956°,28.098034°
SOSHANGUVE secondary school,-25.479260°,28.100410°
ST FRANCIS PRIMARY SCHOOL,-25.487770°,28.123650°
THAKGALANG JUNIOR SECONDARY SCHOOL,-25.484950°,28.131130°
TIAMOKO PRIMARY SCHOOL,-25.475005°,28.101355°
TLAMAGANYO PRIMARY,-25.480670°,28.104260°
TSAROGA-PHOKA PRIMARY SCHOOL,-25.491284°,28.102988°
Tsosoloso Special School,-25.454100°,28.113710°
UTHANDO PRIMARY SCHOOL,-25.475590°,28.122820°
VUKOSI PRIMARY,-25.438076°,28.118899°
Winterveldt High School,-25.402930°,28.023780°
Ho‘rskool Montana,-25.6736,28.2418
Laerskool Magalieskruin,-25.6835,28.2374
Laerskool Stephanus Roos,-25.6802,28.2216
Northridge Primary School,-25.6856,28.2181
Boitshepo Secondary School,-25.3718,28.2875
Dominici School For The Dear - Primary,-25.4047,28.2554
Dominici School For The Dear - Secondary,-25.4059,28.2605
Hamanskraal wes primary,-25.4207,28.265
Hans Kekakana High,-25.3633,28.2359
Hosea Kekana High School,-25.3573,28.2861
Iketle School,-25.4121,28.2511
Itireleng Primary school,-25.4124,28.251
Kekana Primary School,-25.355,28.2479
Kgetseyatsie Middle School,-25.3797,28.2566
Kudube Primary School,-25.3953,28.2732
Lebelo Primary School,-25.3571,28.2949
Leboneng Primary School,-25.366,28.2655
Lefofa Primary School,-25.385,28.2621
LEHWELERENG SECONDARY,-25.4101,28.2553
LETHAMAGA SECONDARY SCHOOL,-25.3735,28.298
Mabu-A-Tlou Primary,-25.3671,28.2223
Madisong secondary school,-25.3672,28.2627
Makgake Primary School,-25.3801,28.2812
Makgetse High School,-25.389,28.2671
Marokolong Primary School,-25.3848,28.2885
Masakhane Primary School,-25.3859,28.2365
moditela secondary school,-25.3716,28.2227
Mokonyama Primary School,-25.3438,28.2909
Mokonyama Primary School 2,-25.395,28.2953
Mosaledi Primary School,-25.3846,28.2631
P.H.L Moraka Secondary School,-25.3737,28.2477
Ratshepo High School,-25.3792,28.2541
Refitlhile Primary School,-25.3874,28.2647
Reneilwe Primary School,-25.375,28.2626
Rethabile primary school,-25.3694,28.3131
SEKAMPANENG PRIMARY SCHOOL,-25.3974,28.2338
Selang Primary School,-25.3605,28.2679
Seroto School,-25.3581,28.251
Sikhululekile School,-25.3803,28.2483
St Camillus Primary School,-25.3906,28.3008
steve biko secondary school,-25.3695,28.3179
Burgher Right Primary School,-25.750570°,28.157610°
Laerskool Die Heuwel,-25.752674°,28.139025°
Hoërskool Tuine,-25.725150°,28.142650°
Laerskool Tuine,-25.724910°,28.147450°
Laerskool Danville,-25.739467°,28.132567°
Daspoort Secondary School,-25.713483°,28.141517°
Hoërskool Hercules,-25.715567°,28.146500°
Laerskool Booysens,-25.70884°,28.12606°
Laerskool Hermanstad,-25.716817°,28.155350°
Kwaggasrandskool,-25.760483°,28.117550°
Laerskool Mayville,-25.705650°,28.183083°
Laerskool Bergsig,-25.699333°,28.166050°
Laerskool Saamspan,-25.697740°,28.157850°
Hillview High School,-25.711650°,28.174997°
Suiderberg Skool,-25.696860°,28.143220°
Laerskool Boerefort,-25.700233°,28.193283°
Camera Pole 215 - C/O Dely & Lois,-25.795601°,28.269590°
Hoërskool Garsfontein,-25.798367°,28.305317°
Laerskool Elarduspark,-25.829230°,28.259870°
Laerskool Garsfontein,-25.791100°,28.296067°
Laerskool Tygerpoort,-25.795824°,28.354914°
Lynnwood Ridge Primary School,-25.762550°,28.299300°
BOKGONI TECHNICAL SECONDARY SCHOOL,-25.764417°,28.085367°
WALTON JAMESON PRIMARY SCHOOL,-25.764640°,28.085110°
Matseke Primary School,-25.773050°,28.074890°
Laerskool Kameeldrift,-25.712120°,28.006770°
Laerskool Kameelfontein,-25.602720°,28.403100°
Bagale primary school,-25.752350°,28.067190°
Laerskool Wespark,-25.757300°,28.123290°
St. Paulis School,-25.750719°,28.286364°
St Marys School,-25.756280°,28.241600°
Lesedi Secondary school,-25.773233,28.4448
Laerskool Skuilkrans,-25.749067°,28.303167°
Hoërskool Silverton,-25.736590°,28.302960°
Laerskool Silverton,-25.732050°,28.301117°
Hoërskool Langenhoven,-25.733100°,28.188000°
Hoërskool Pretoria-Wes,-25.740600°,28.157570°
Laerskool Simon Bekker,-25.753590°,28.153770°
Transoranje Skool,-25.748720°,28.129900°
Hoërskool Elandspoort,-25.742590°,28.124410°
Laerskool Generaal Beyers,-25.743650°,28.126950°
Annlin Tennis Club,-25.681639°,28.197444°
Hoërskool Pretoria-Noord,-25.683983°,28.168567°
Laerskool Danie Malan,-25.676450°,28.178710°
Laerskool Rachel De Beer,-25.662061°,28.156670°
ASSUMPTION CONVENT SCHOOL,-25.672280°,28.179620°
Laerskool Wonderboom,-25.682950°,28.199830°
Hoërskool Overkruin,-25.684490°,28.209500°
Alma Primary School,-25.712410°,28.196600°
Eduplex Primary School,-25.724360°,28.247890°
Hoërskool Oos-Moot,-25.708010°,28.241080°
Hoërskool Staatspresident C R Swart,-25.708367°,28.256650°
Kodumela Primary School,-25.602433°,28.207367°
Laerskool Eben Swemmer,-25.718090°,28.210050°
Laerskool Lindopark,-25.712160°,28.271620°
Laerskool Nellie Swart,-25.720010°,28.257010°
Laerskool Pierneef,-25.721740°,28.230330°
Laerskool Queenswood,-25.731970°,28.253631°
Laerskool Villieria,-25.711530°,28.235650°
Laerskool Voorpos,-25.702880°,28.258910°
Loreto school queenswood,-25.735242°,28.243381°
Robert Hicks Primary School,-25.725687°,28.209125°
Willowridge High School,-25.761410°,28.314050°
Laerskool Monumentpark,-25.801370°,28.229890°
Pretoria Chinese Skool,-25.827360°,28.268490°
Arcadia Primary School,-25.746670°,28.219970°
Pretoria Technical High School,-25.750020°,28.212410°
Brooklyn Primary School,-25.764117°,28.243133°
Laerskool Pretoria-Oos,-25.758633°,28.230083°
Pretoria Boys' High School,-25.759067°,28.230783°
Laerskool Anton Van Wouw,-25.775633°,28.232250°
Laerskool Generaal Jacques Pienaar,-25.726038°,28.196353°
Bks Customer Care Centre,-25.748680°,28.195940°
Afrikaanse Hoër Meisieskool,-25.756717°,28.219967°
Magalies Primary/Secondary,-25.706890°,28.219930°
Clapham High School,-25.732920°,28.242920°
Hoër Tegniese Skool John Vorster,-25.697520°,28.237200°
Laerskool Rietfontein-Noord,-25.699130°,28.227370°
Laerskool Riviera,-25.731640°,28.206900°
Laerskool Jopie Fourie,-25.763410°,28.184210°
Laerskool Oos-Eind,-25.756400°,28.191400°
